"ScriptName","Severity","Line","Column","RuleName","Message"
"Get-B1DHCPLog.ps1","Warning","88","14","PSUseApprovedVerbs","The cmdlet 'Match-DHCPHost' uses an unapproved verb."
"Remove-B1Location.ps1","Warning","61","17","PSUseDeclaredVarsMoreThanAssignments","The variable 'Results' is assigned but never used."
"Get-B1IPAMChild.ps1","Information","95","17","PSUseOutputTypeCorrectly","The cmdlet 'Get-B1IPAMChild' returns an object of type 'System.Object[]' but this type is not declared in the OutputType attribute."
"Get-B1TopMetrics.ps1","Warning","65","11","PSReviewUnusedParameter","The parameter 'Force' has been declared but not used. "
"New-B1DNSACLItem.ps1","Information","83","9","PSUseOutputTypeCorrectly","The cmdlet 'New-B1DNSACLItem' returns an object of type 'System.String' but this type is not declared in the OutputType attribute."
"New-B1DNSACLItem.ps1","Warning","50","9","PSShouldProcess","'New-B1DNSACLItem' has the ShouldProcess attribute but does not call ShouldProcess/ShouldContinue."
"New-B1DTCTopologyRule.ps1","Warning","57","5","PSUseDeclaredVarsMoreThanAssignments","The variable 'MethodArr' is assigned but never used."
"New-B1DTCTopologyRule.ps1","Warning","42","9","PSShouldProcess","'New-B1DTCTopologyRule' has the ShouldProcess attribute but does not call ShouldProcess/ShouldContinue."
"New-B1Record.ps1","Information","223","13","PSUseOutputTypeCorrectly","The cmdlet 'New-B1Record' returns an object of type 'System.Boolean' but this type is not declared in the OutputType attribute."
"Revoke-B1DHCPConfigProfile.ps1","Warning","81","25","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Revoke-B1DNSConfigProfile.ps1","Warning","78","25","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Set-B1AddressBlock.ps1","Warning","115","59","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Set-B1AddressBlock.ps1","Warning","117","23","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Set-B1DHCPConfigProfile.ps1","Warning","108","113","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Set-B1DHCPConfigProfile.ps1","Warning","111","17","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Set-B1DHCPGlobalConfig.ps1","Warning","79","75","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Set-B1DHCPGlobalConfig.ps1","Warning","114","97","PSAvoidUsingCmdletAliases","'fl' is an alias of 'Format-List'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content."
"Set-B1DNSHost.ps1","Information","104","1","PSAvoidTrailingWhitespace","Line has trailing whitespace"
"Set-B1ForwardNSG.ps1","Warning","126","19","PSUseDeclaredVarsMoreThanAssignments","The variable 'Update' is assigned but never used."
"Set-B1NTPServiceConfiguration.ps1","Warning","39","5","PSAvoidDefaultValueSwitchParameter","File 'Set-B1NTPServiceConfiguration.ps1' has a switch parameter default to true."
"Set-B1Subnet.ps1","Warning","119","59","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Set-B1Subnet.ps1","Warning","121","23","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Deploy-B1Appliance.ps1","Information","1040","29","PSUseOutputTypeCorrectly","The cmdlet 'Deploy-B1Appliance' returns an object of type 'System.Collections.Hashtable' but this type is not declared in the OutputType attribute."
"Deploy-B1Appliance.ps1","Warning","392","14","PSUseDeclaredVarsMoreThanAssignments","The variable 'PortGroupTypeValidation' is assigned but never used."
"Deploy-B1Appliance.ps1","Warning","627","29","PSUseDeclaredVarsMoreThanAssignments","The variable 'ImagesDir' is assigned but never used."
"Deploy-B1Appliance.ps1","Warning","629","29","PSUseDeclaredVarsMoreThanAssignments","The variable 'CurrentImages' is assigned but never used."
"Deploy-B1Appliance.ps1","Warning","700","21","PSUseDeclaredVarsMoreThanAssignments","The variable 'VMwareConnect' is assigned but never used."
"Deploy-B1Appliance.ps1","Warning","798","25","PSUseDeclaredVarsMoreThanAssignments","The variable 'VMStart' is assigned but never used."
"Deploy-B1Appliance.ps1","Warning","843","17","PSUseDeclaredVarsMoreThanAssignments","The variable 'MetadataISO' is assigned but never used."
